Configuration,Resolution,Target_FPS,Actual_FPS,Inter_Frame_Delay_ms,Codec,Bitrate_Usb,Host_GPU_CPU_Usage_%,Duration_Sec
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
