Configuration,Resolution,Target_FPS,Actual_FPS,Inter_Frame_Delay_ms,Codec,Bitrate_Usb,Host_GPU_CPU_Usage_%,Duration_Sec
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,30
720p_30fps_12M,720p,30,29,34.48,h265,12M,0.0,30
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,30
720p_30fps_12M,720p,30,31,32.26,h265,12M,0.0,30
720p_30fps_12M,720p,30,29,34.48,h265,12M,0.0,30
720p_30fps_12M,720p,30,29,34.48,h265,12M,0.0,30
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,30
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,30
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,30
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,30
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,30
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,30
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,30
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,30
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,30
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,30
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,30
720p_30fps_12M,720p,30,31,32.26,h265,12M,0.0,30
720p_30fps_12M,720p,30,29,34.48,h265,12M,0.0,30
720p_30fps_12M,720p,30,31,32.26,h265,12M,0.0,30
720p_30fps_12M,720p,30,29,34.48,h265,12M,0.0,30
720p_30fps_16M,720p,30,21,47.62,h265,16M,0.0,30
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,30
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,30
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,30
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,30
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,30
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,30
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,30
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,30
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,30
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,30
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,30
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,30
720p_30fps_16M,720p,30,29,34.48,h265,16M,0.0,30
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,30
720p_30fps_16M,720p,30,29,34.48,h265,16M,0.0,30
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,30
720p_30fps_16M,720p,30,31,32.26,h265,16M,0.0,30
720p_30fps_16M,720p,30,29,34.48,h265,16M,0.0,30
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,30
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,30
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,30
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,30
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,30
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,30
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,30
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,30
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,30
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,30
720p_30fps_24M,720p,30,21,47.62,h265,24M,0.0,30
720p_30fps_24M,720p,30,29,34.48,h265,24M,0.0,30
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,30
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,30
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,30
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,30
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,30
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,30
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,30
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,30
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,30
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,30
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,30
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,30
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,30
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,30
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,30
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,30
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,30
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,30
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,30
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,30
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,30
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,30
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,30
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,30
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,30
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,30
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,30
720p_30fps_32M,720p,30,21,47.62,h265,32M,0.0,30
720p_30fps_32M,720p,30,28,35.71,h265,32M,0.0,30
720p_30fps_32M,720p,30,30,33.33,h265,32M,0.0,30
720p_30fps_32M,720p,30,30,33.33,h265,32M,0.0,30
720p_30fps_32M,720p,30,30,33.33,h265,32M,0.0,30
720p_30fps_32M,720p,30,30,33.33,h265,32M,0.0,30
720p_30fps_32M,720p,30,30,33.33,h265,32M,0.0,30
720p_30fps_32M,720p,30,30,33.33,h265,32M,0.0,30
720p_30fps_32M,720p,30,30,33.33,h265,32M,0.0,30
720p_30fps_32M,720p,30,30,33.33,h265,32M,0.0,30
720p_30fps_32M,720p,30,30,33.33,h265,32M,0.0,30
720p_30fps_32M,720p,30,30,33.33,h265,32M,0.0,30
720p_30fps_32M,720p,30,30,33.33,h265,32M,0.0,30
720p_30fps_32M,720p,30,30,33.33,h265,32M,0.0,30
720p_30fps_32M,720p,30,30,33.33,h265,32M,0.0,30
720p_30fps_32M,720p,30,30,33.33,h265,32M,0.0,30
720p_30fps_32M,720p,30,30,33.33,h265,32M,0.0,30
720p_30fps_32M,720p,30,30,33.33,h265,32M,0.0,30
720p_30fps_32M,720p,30,30,33.33,h265,32M,0.0,30
720p_30fps_32M,720p,30,30,33.33,h265,32M,0.0,30
720p_30fps_32M,720p,30,30,33.33,h265,32M,0.0,30
720p_30fps_32M,720p,30,30,33.33,h265,32M,0.0,30
720p_30fps_32M,720p,30,30,33.33,h265,32M,0.0,30
720p_30fps_32M,720p,30,30,33.33,h265,32M,0.0,30
720p_30fps_32M,720p,30,30,33.33,h265,32M,0.0,30
720p_30fps_32M,720p,30,23,43.48,h265,32M,0.0,30
720p_30fps_32M,720p,30,16,62.50,h265,32M,0.0,30
720p_30fps_32M,720p,30,10,100.00,h265,32M,0.0,30
720p_30fps_32M,720p,30,1,1000.00,h265,32M,0.0,30
720p_60fps_2M,720p,60,19,52.63,h265,2M,0.0,30
720p_60fps_2M,720p,60,30,33.33,h265,2M,0.0,30
720p_60fps_2M,720p,60,34,29.41,h265,2M,0.0,30
720p_60fps_2M,720p,60,35,28.57,h265,2M,0.0,30
720p_60fps_2M,720p,60,35,28.57,h265,2M,0.0,30
720p_60fps_2M,720p,60,35,28.57,h265,2M,0.0,30
720p_60fps_2M,720p,60,35,28.57,h265,2M,0.0,30
720p_60fps_2M,720p,60,35,28.57,h265,2M,0.0,30
720p_60fps_2M,720p,60,34,29.41,h265,2M,0.0,30
720p_60fps_2M,720p,60,35,28.57,h265,2M,0.0,30
720p_60fps_2M,720p,60,35,28.57,h265,2M,0.0,30
720p_60fps_2M,720p,60,36,27.78,h265,2M,0.0,30
720p_60fps_2M,720p,60,36,27.78,h265,2M,0.0,30
720p_60fps_2M,720p,60,35,28.57,h265,2M,0.0,30
720p_60fps_2M,720p,60,36,27.78,h265,2M,0.0,30
720p_60fps_2M,720p,60,34,29.41,h265,2M,0.0,30
720p_60fps_2M,720p,60,35,28.57,h265,2M,0.0,30
720p_60fps_2M,720p,60,35,28.57,h265,2M,0.0,30
720p_60fps_2M,720p,60,35,28.57,h265,2M,0.0,30
720p_60fps_2M,720p,60,35,28.57,h265,2M,0.0,30
720p_60fps_2M,720p,60,35,28.57,h265,2M,0.0,30
720p_60fps_2M,720p,60,36,27.78,h265,2M,0.0,30
720p_60fps_2M,720p,60,35,28.57,h265,2M,0.0,30
720p_60fps_2M,720p,60,36,27.78,h265,2M,0.0,30
720p_60fps_2M,720p,60,36,27.78,h265,2M,0.0,30
720p_60fps_2M,720p,60,35,28.57,h265,2M,0.0,30
720p_60fps_2M,720p,60,35,28.57,h265,2M,0.0,30
720p_60fps_2M,720p,60,36,27.78,h265,2M,0.0,30
720p_60fps_4M,720p,60,22,45.45,h265,4M,0.0,30
720p_60fps_4M,720p,60,31,32.26,h265,4M,0.0,30
720p_60fps_4M,720p,60,33,30.30,h265,4M,0.0,30
720p_60fps_4M,720p,60,35,28.57,h265,4M,0.0,30
720p_60fps_4M,720p,60,35,28.57,h265,4M,0.0,30
720p_60fps_4M,720p,60,34,29.41,h265,4M,0.0,30
720p_60fps_4M,720p,60,34,29.41,h265,4M,0.0,30
720p_60fps_4M,720p,60,34,29.41,h265,4M,0.0,30
720p_60fps_4M,720p,60,35,28.57,h265,4M,0.0,30
720p_60fps_4M,720p,60,34,29.41,h265,4M,0.0,30
720p_60fps_4M,720p,60,34,29.41,h265,4M,0.0,30
720p_60fps_4M,720p,60,36,27.78,h265,4M,0.0,30
720p_60fps_4M,720p,60,35,28.57,h265,4M,0.0,30
720p_60fps_4M,720p,60,34,29.41,h265,4M,0.0,30
720p_60fps_4M,720p,60,35,28.57,h265,4M,0.0,30
720p_60fps_4M,720p,60,35,28.57,h265,4M,0.0,30
720p_60fps_4M,720p,60,34,29.41,h265,4M,0.0,30
720p_60fps_4M,720p,60,35,28.57,h265,4M,0.0,30
720p_60fps_4M,720p,60,34,29.41,h265,4M,0.0,30
720p_60fps_4M,720p,60,35,28.57,h265,4M,0.0,30
720p_60fps_4M,720p,60,34,29.41,h265,4M,0.0,30
720p_60fps_4M,720p,60,35,28.57,h265,4M,0.0,30
720p_60fps_4M,720p,60,35,28.57,h265,4M,0.0,30
720p_60fps_4M,720p,60,33,30.30,h265,4M,0.0,30
720p_60fps_4M,720p,60,35,28.57,h265,4M,0.0,30
720p_60fps_4M,720p,60,35,28.57,h265,4M,0.0,30
720p_60fps_4M,720p,60,35,28.57,h265,4M,0.0,30
720p_60fps_4M,720p,60,35,28.57,h265,4M,0.0,30
720p_60fps_4M,720p,60,35,28.57,h265,4M,0.0,30
720p_60fps_8M,720p,60,19,52.63,h265,8M,0.0,30
720p_60fps_8M,720p,60,30,33.33,h265,8M,0.0,30
720p_60fps_8M,720p,60,32,31.25,h265,8M,0.0,30
720p_60fps_8M,720p,60,32,31.25,h265,8M,0.0,30
720p_60fps_8M,720p,60,33,30.30,h265,8M,0.0,30
720p_60fps_8M,720p,60,32,31.25,h265,8M,0.0,30
720p_60fps_8M,720p,60,33,30.30,h265,8M,0.0,30
720p_60fps_8M,720p,60,33,30.30,h265,8M,0.0,30
720p_60fps_8M,720p,60,33,30.30,h265,8M,0.0,30
720p_60fps_8M,720p,60,33,30.30,h265,8M,0.0,30
720p_60fps_8M,720p,60,34,29.41,h265,8M,0.0,30
720p_60fps_8M,720p,60,34,29.41,h265,8M,0.0,30
720p_60fps_8M,720p,60,34,29.41,h265,8M,0.0,30
720p_60fps_8M,720p,60,34,29.41,h265,8M,0.0,30
720p_60fps_8M,720p,60,34,29.41,h265,8M,0.0,30
720p_60fps_8M,720p,60,34,29.41,h265,8M,0.0,30
720p_60fps_8M,720p,60,33,30.30,h265,8M,0.0,30
720p_60fps_8M,720p,60,34,29.41,h265,8M,0.0,30
720p_60fps_8M,720p,60,34,29.41,h265,8M,0.0,30
720p_60fps_8M,720p,60,33,30.30,h265,8M,0.0,30
720p_60fps_8M,720p,60,34,29.41,h265,8M,0.0,30
720p_60fps_8M,720p,60,34,29.41,h265,8M,0.0,30
720p_60fps_8M,720p,60,33,30.30,h265,8M,0.0,30
720p_60fps_8M,720p,60,34,29.41,h265,8M,0.0,30
720p_60fps_8M,720p,60,34,29.41,h265,8M,0.0,30
720p_60fps_8M,720p,60,34,29.41,h265,8M,0.0,30
720p_60fps_8M,720p,60,34,29.41,h265,8M,0.0,30
720p_60fps_8M,720p,60,34,29.41,h265,8M,0.0,30
720p_60fps_8M,720p,60,34,29.41,h265,8M,0.0,30
720p_60fps_12M,720p,60,20,50.00,h265,12M,0.0,30
720p_60fps_12M,720p,60,28,35.71,h265,12M,0.0,30
720p_60fps_12M,720p,60,34,29.41,h265,12M,0.0,30
720p_60fps_12M,720p,60,32,31.25,h265,12M,0.0,30
720p_60fps_12M,720p,60,34,29.41,h265,12M,0.0,30
720p_60fps_12M,720p,60,32,31.25,h265,12M,0.0,30
720p_60fps_12M,720p,60,34,29.41,h265,12M,0.0,30
720p_60fps_12M,720p,60,32,31.25,h265,12M,0.0,30
720p_60fps_12M,720p,60,33,30.30,h265,12M,0.0,30
720p_60fps_12M,720p,60,33,30.30,h265,12M,0.0,30
720p_60fps_12M,720p,60,33,30.30,h265,12M,0.0,30
720p_60fps_12M,720p,60,33,30.30,h265,12M,0.0,30
720p_60fps_12M,720p,60,34,29.41,h265,12M,0.0,30
720p_60fps_12M,720p,60,33,30.30,h265,12M,0.0,30
720p_60fps_12M,720p,60,33,30.30,h265,12M,0.0,30
720p_60fps_12M,720p,60,32,31.25,h265,12M,0.0,30
720p_60fps_12M,720p,60,28,35.71,h265,12M,0.0,30
720p_60fps_12M,720p,60,33,30.30,h265,12M,0.0,30
720p_60fps_12M,720p,60,32,31.25,h265,12M,0.0,30
720p_60fps_12M,720p,60,33,30.30,h265,12M,0.0,30
720p_60fps_12M,720p,60,33,30.30,h265,12M,0.0,30
720p_60fps_12M,720p,60,33,30.30,h265,12M,0.0,30
720p_60fps_12M,720p,60,33,30.30,h265,12M,0.0,30
720p_60fps_12M,720p,60,33,30.30,h265,12M,0.0,30
720p_60fps_12M,720p,60,33,30.30,h265,12M,0.0,30
720p_60fps_12M,720p,60,34,29.41,h265,12M,0.0,30
720p_60fps_12M,720p,60,33,30.30,h265,12M,0.0,30
720p_60fps_12M,720p,60,33,30.30,h265,12M,0.0,30
720p_60fps_12M,720p,60,33,30.30,h265,12M,0.0,30
720p_60fps_16M,720p,60,19,52.63,h265,16M,0.0,30
720p_60fps_16M,720p,60,29,34.48,h265,16M,0.0,30
720p_60fps_16M,720p,60,32,31.25,h265,16M,0.0,30
720p_60fps_16M,720p,60,33,30.30,h265,16M,0.0,30
720p_60fps_16M,720p,60,32,31.25,h265,16M,0.0,30
720p_60fps_16M,720p,60,33,30.30,h265,16M,0.0,30
720p_60fps_16M,720p,60,33,30.30,h265,16M,0.0,30
720p_60fps_16M,720p,60,32,31.25,h265,16M,0.0,30
720p_60fps_16M,720p,60,33,30.30,h265,16M,0.0,30
720p_60fps_16M,720p,60,32,31.25,h265,16M,0.0,30
720p_60fps_16M,720p,60,33,30.30,h265,16M,0.0,30
720p_60fps_16M,720p,60,33,30.30,h265,16M,0.0,30
720p_60fps_16M,720p,60,34,29.41,h265,16M,0.0,30
720p_60fps_16M,720p,60,33,30.30,h265,16M,0.0,30
720p_60fps_16M,720p,60,33,30.30,h265,16M,0.0,30
720p_60fps_16M,720p,60,32,31.25,h265,16M,0.0,30
720p_60fps_16M,720p,60,33,30.30,h265,16M,0.0,30
720p_60fps_16M,720p,60,33,30.30,h265,16M,0.0,30
720p_60fps_16M,720p,60,33,30.30,h265,16M,0.0,30
720p_60fps_16M,720p,60,33,30.30,h265,16M,0.0,30
720p_60fps_16M,720p,60,33,30.30,h265,16M,0.0,30
720p_60fps_16M,720p,60,34,29.41,h265,16M,0.0,30
720p_60fps_16M,720p,60,32,31.25,h265,16M,0.0,30
720p_60fps_16M,720p,60,34,29.41,h265,16M,0.0,30
720p_60fps_16M,720p,60,32,31.25,h265,16M,0.0,30
720p_60fps_16M,720p,60,33,30.30,h265,16M,0.0,30
720p_60fps_16M,720p,60,33,30.30,h265,16M,0.0,30
720p_60fps_16M,720p,60,33,30.30,h265,16M,0.0,30
720p_60fps_16M,720p,60,33,30.30,h265,16M,0.0,30
720p_60fps_24M,720p,60,19,52.63,h265,24M,0.0,30
720p_60fps_24M,720p,60,28,35.71,h265,24M,0.0,30
720p_60fps_24M,720p,60,31,32.26,h265,24M,0.0,30
720p_60fps_24M,720p,60,31,32.26,h265,24M,0.0,30
720p_60fps_24M,720p,60,31,32.26,h265,24M,0.0,30
720p_60fps_24M,720p,60,32,31.25,h265,24M,0.0,30
720p_60fps_24M,720p,60,31,32.26,h265,24M,0.0,30
720p_60fps_24M,720p,60,31,32.26,h265,24M,0.0,30
720p_60fps_24M,720p,60,25,40.00,h265,24M,0.0,30
720p_60fps_24M,720p,60,32,31.25,h265,24M,0.0,30
720p_60fps_24M,720p,60,31,32.26,h265,24M,0.0,30
720p_60fps_24M,720p,60,31,32.26,h265,24M,0.0,30
720p_60fps_24M,720p,60,31,32.26,h265,24M,0.0,30
720p_60fps_24M,720p,60,32,31.25,h265,24M,0.0,30
720p_60fps_24M,720p,60,31,32.26,h265,24M,0.0,30
720p_60fps_24M,720p,60,31,32.26,h265,24M,0.0,30
720p_60fps_24M,720p,60,33,30.30,h265,24M,0.0,30
720p_60fps_24M,720p,60,31,32.26,h265,24M,0.0,30
720p_60fps_24M,720p,60,32,31.25,h265,24M,0.0,30
720p_60fps_24M,720p,60,33,30.30,h265,24M,0.0,30
720p_60fps_24M,720p,60,31,32.26,h265,24M,0.0,30
720p_60fps_24M,720p,60,32,31.25,h265,24M,0.0,30
720p_60fps_24M,720p,60,32,31.25,h265,24M,0.0,30
720p_60fps_24M,720p,60,31,32.26,h265,24M,0.0,30
720p_60fps_24M,720p,60,32,31.25,h265,24M,0.0,30
720p_60fps_24M,720p,60,21,47.62,h265,24M,0.0,30
720p_60fps_24M,720p,60,17,58.82,h265,24M,0.0,30
720p_60fps_24M,720p,60,8,125.00,h265,24M,0.0,30
720p_60fps_32M,720p,60,19,52.63,h265,32M,0.0,30
720p_60fps_32M,720p,60,27,37.04,h265,32M,0.0,30
720p_60fps_32M,720p,60,31,32.26,h265,32M,0.0,30
720p_60fps_32M,720p,60,31,32.26,h265,32M,0.0,30
720p_60fps_32M,720p,60,30,33.33,h265,32M,0.0,30
720p_60fps_32M,720p,60,31,32.26,h265,32M,0.0,30
720p_60fps_32M,720p,60,30,33.33,h265,32M,0.0,30
720p_60fps_32M,720p,60,32,31.25,h265,32M,0.0,30
720p_60fps_32M,720p,60,30,33.33,h265,32M,0.0,30
720p_60fps_32M,720p,60,31,32.26,h265,32M,0.0,30
720p_60fps_32M,720p,60,31,32.26,h265,32M,0.0,30
720p_60fps_32M,720p,60,31,32.26,h265,32M,0.0,30
720p_60fps_32M,720p,60,32,31.25,h265,32M,0.0,30
720p_60fps_32M,720p,60,31,32.26,h265,32M,0.0,30
720p_60fps_32M,720p,60,32,31.25,h265,32M,0.0,30
720p_60fps_32M,720p,60,32,31.25,h265,32M,0.0,30
720p_60fps_32M,720p,60,32,31.25,h265,32M,0.0,30
720p_60fps_32M,720p,60,31,32.26,h265,32M,0.0,30
720p_60fps_32M,720p,60,32,31.25,h265,32M,0.0,30
720p_60fps_32M,720p,60,32,31.25,h265,32M,0.0,30
720p_60fps_32M,720p,60,32,31.25,h265,32M,0.0,30
720p_60fps_32M,720p,60,31,32.26,h265,32M,0.0,30
720p_60fps_32M,720p,60,31,32.26,h265,32M,0.0,30
720p_60fps_32M,720p,60,32,31.25,h265,32M,0.0,30
720p_60fps_32M,720p,60,31,32.26,h265,32M,0.0,30
720p_60fps_32M,720p,60,31,32.26,h265,32M,0.0,30
720p_60fps_32M,720p,60,30,33.33,h265,32M,0.0,30
720p_60fps_32M,720p,60,31,32.26,h265,32M,0.0,30
720p_60fps_32M,720p,60,29,34.48,h265,32M,0.0,30
1080p_30fps_2M,1080p,30,14,71.43,h265,2M,0.0,30
1080p_30fps_2M,1080p,30,27,37.04,h265,2M,0.0,30
1080p_30fps_2M,1080p,30,30,33.33,h265,2M,0.0,30
1080p_30fps_2M,1080p,30,30,33.33,h265,2M,0.0,30
1080p_30fps_2M,1080p,30,30,33.33,h265,2M,0.0,30
1080p_30fps_2M,1080p,30,30,33.33,h265,2M,0.0,30
1080p_30fps_2M,1080p,30,30,33.33,h265,2M,0.0,30
1080p_30fps_2M,1080p,30,30,33.33,h265,2M,0.0,30
1080p_30fps_2M,1080p,30,30,33.33,h265,2M,0.0,30
1080p_30fps_2M,1080p,30,30,33.33,h265,2M,0.0,30
1080p_30fps_2M,1080p,30,30,33.33,h265,2M,0.0,30
1080p_30fps_2M,1080p,30,30,33.33,h265,2M,0.0,30
1080p_30fps_2M,1080p,30,30,33.33,h265,2M,0.0,30
1080p_30fps_2M,1080p,30,30,33.33,h265,2M,0.0,30
1080p_30fps_2M,1080p,30,30,33.33,h265,2M,0.0,30
